speedup: 3.334
1 MAIN_TAREADOR 1 0.0
2 start_plan_forward 2 0.32 len(0.00) dep(0.02) conc(0.30)
3 init_complex_grid 3 0.16 len(0.00) dep(0.11) conc(0.05)
4 init_complex_grid_loop_k 4 0.26 len(0.19) dep(0.01) conc(0.05)
5 ffts1_planes 5 0.19 len(0.00) dep(0.12) conc(0.06)
6 ffts1_planes_loop_k 6 0.43 len(0.37) dep(0.01) conc(0.05)
7 transpose_xy_planes 7 0.18 len(0.00) dep(0.12) conc(0.06)
8 transpose_xy_planes_loop_k 8 0.27 len(0.21) dep(0.01) conc(0.05)
9 ffts1_planes_2 9 0.19 len(0.00) dep(0.12) conc(0.06)
10 transpose_zx_planes 10 0.18 len(0.00) dep(0.12) conc(0.06)
11 transpose_zx_planes_loop_k 11 0.27 len(0.21) dep(0.01) conc(0.05)
12 ffts1_planes_3 12 0.19 len(0.00) dep(0.12) conc(0.06)
13 transpose_zx_planes_2 13 0.18 len(0.00) dep(0.12) conc(0.06)
14 transpose_xy_planes_2 14 0.18 len(0.00) dep(0.12) conc(0.06)
