	MAIN_TAREADOR	start_plan_forward	init_complex_grid	init_complex_grid_loop_k	ffts1_planes	ffts1_planes_loop_k	transpose_xy_planes	transpose_xy_planes_loop_k	ffts1_planes_2	transpose_zx_planes	transpose_zx_planes_loop_k	ffts1_planes_3	transpose_zx_planes_2	transpose_xy_planes_2	
THREAD 1.1.1	108000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	14000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.3	0.00	0.00	92000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.4	0.00	0.00	0.00	5435000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.5	0.00	0.00	0.00	5435000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.6	0.00	0.00	0.00	5435000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.7	0.00	0.00	0.00	5435000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.8	0.00	0.00	0.00	5435000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.9	0.00	0.00	0.00	5435000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.10	0.00	0.00	0.00	5435000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.11	0.00	0.00	0.00	5435000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
THREAD 1.1.12	0.00	0.00	0.00	5435000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
