	MAIN_TAREADOR	init_A	init_B	dot_product	dot_product_it	
THREAD 1.1.1	16000.00	0.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	229000.00	0.00	0.00	0.00	
THREAD 1.1.3	0.00	0.00	261000.00	0.00	0.00	
THREAD 1.1.4	0.00	0.00	0.00	184000.00	0.00	
THREAD 1.1.5	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.6	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.7	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.8	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.9	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.10	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.11	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.12	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.13	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.14	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.15	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.16	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.17	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.18	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.19	0.00	0.00	0.00	0.00	6538000.00	
THREAD 1.1.20	0.00	0.00	0.00	0.00	6538000.00	

Total	16000.00	229000.00	261000.00	184000.00	104608000.00	
Average	16000.00	229000.00	261000.00	184000.00	6538000.00	
Maximum	16000.00	229000.00	261000.00	184000.00	6538000.00	
Minimum	16000.00	229000.00	261000.00	184000.00	6538000.00	
Stdev	0.00	0.00	0.00	0.00	0.00	
Avg/Max	1.00	1.00	1.00	1.00	1.00	

